JP Name,Global Name,Internal Name,ID,LOD1 Filename,LOD1 Hash,LOD2 Filename,LOD2 Hash,LOD3 Filename,LOD3 Hash,Common Filename,Common Hash
数字『0』(Ob),Number 0 (Ob),ob_7000_0032,10027,object/map_object/ob_7000_0032_l1.ice,df\09121f5de901171486a399cd555df6,object/map_object/ob_7000_0032_l2.ice,,object/map_object/ob_7000_0032_l3.ice,,object/map_object/ob_7000_0032_com.ice,65\432cdaec7948bc833952539a3e247d
数字『1』(Ob),Number 1 (Ob),ob_7000_0033,10028,object/map_object/ob_7000_0033_l1.ice,99\13716a52855c440206c14a36297733,object/map_object/ob_7000_0033_l2.ice,,object/map_object/ob_7000_0033_l3.ice,,object/map_object/ob_7000_0033_com.ice,bc\4cc43d418d12abfdbf5f0ec2d55c52
数字『2』(Ob),Number 2 (Ob),ob_7000_0034,10029,object/map_object/ob_7000_0034_l1.ice,b7\7cbe337763c80e1878dcbfb56f3fc7,object/map_object/ob_7000_0034_l2.ice,,object/map_object/ob_7000_0034_l3.ice,,object/map_object/ob_7000_0034_com.ice,92\99a855866e8d28066c9fb66a4da62e
数字『3』(Ob),Number 3 (Ob),ob_7000_0035,10030,object/map_object/ob_7000_0035_l1.ice,34\25923d33550066525696ecc22d98f0,object/map_object/ob_7000_0035_l2.ice,,object/map_object/ob_7000_0035_l3.ice,,object/map_object/ob_7000_0035_com.ice,54\64432ad48164059aa3fab30223d6cd
数字『4』(Ob),Number 4 (Ob),ob_7000_0036,10031,object/map_object/ob_7000_0036_l1.ice,da\2ea37c498612ecc642f3b2506202b0,object/map_object/ob_7000_0036_l2.ice,,object/map_object/ob_7000_0036_l3.ice,,object/map_object/ob_7000_0036_com.ice,40\a036260c72b09b81fb786b799124c5
数字『5』(Ob),Number 5 (Ob),ob_7000_0037,10032,object/map_object/ob_7000_0037_l1.ice,1f\b8fb0395a7f96e5cb09bcf00ecc946,object/map_object/ob_7000_0037_l2.ice,,object/map_object/ob_7000_0037_l3.ice,,object/map_object/ob_7000_0037_com.ice,a2\edfe5ae33119423554060e50ac5832
数字『6』(Ob),Number 6 (Ob),ob_7000_0038,10033,object/map_object/ob_7000_0038_l1.ice,3d\de0676213bef60f014a55cd96aefed,object/map_object/ob_7000_0038_l2.ice,,object/map_object/ob_7000_0038_l3.ice,,object/map_object/ob_7000_0038_com.ice,c8\26513c28ab58aad6cb4a7a7a917813
数字『7』(Ob),Number 7 (Ob),ob_7000_0039,10034,object/map_object/ob_7000_0039_l1.ice,84\8accab5d40ba3c820daab1e1c8a251,object/map_object/ob_7000_0039_l2.ice,,object/map_object/ob_7000_0039_l3.ice,,object/map_object/ob_7000_0039_com.ice,d2\d93a24ea1f3d4944e12483d4edb039
数字『8』(Ob),Number 8 (Ob),ob_7000_0040,10035,object/map_object/ob_7000_0040_l1.ice,87\5de22ad5ce2fb2b03874571ce57f1f,object/map_object/ob_7000_0040_l2.ice,,object/map_object/ob_7000_0040_l3.ice,,object/map_object/ob_7000_0040_com.ice,6f\3763f10edb35aaa35c13cffdf071f4
数字『9』(Ob),Number 9 (Ob),ob_7000_0041,10036,object/map_object/ob_7000_0041_l1.ice,e6\c1f84173e8213877db207ca1a69484,object/map_object/ob_7000_0041_l2.ice,,object/map_object/ob_7000_0041_l3.ice,,object/map_object/ob_7000_0041_com.ice,d2\3a75ecf6ba592bc1ce8f01d979fb2a
