Data is laid out as follows:
Object Name JP (if known),Object Name EN (if known),Object Function,Animation type,category 1,category 2,object unhashed name,object hashed name,object _ex textures hashed name


,,message_inout,motion_none,ground,ground,object/map_object/ob_1000_0001.ice,60c03e1256d5ae75620d2ec9375ab659,d06636513a110346019ce2d0d0ac6cf3
モダンソファ,Modern Sofa,motion,motion_sitdown,ground,ground,object/map_object/ob_1000_0002.ice,e94cc8730f57ee90e02999f43670d95c,2c482c032bc940f237b20db41b4dd337
クラシックソファ,Classic Sofa,motion,motion_sitdown,ground,ground,object/map_object/ob_1000_0003.ice,99d4c8046da3038c00e1d3601f3c8ad4,15afbdafbd1451a780933ffe48f7e175
ゴシックソファ,Gothic Sofa,motion,motion_sitdown,ground,ground,object/map_object/ob_1000_0004.ice,03a4b8d148993d8e3c692cfa155bf621,e487556140c41a7964120f6ee7fe8c3c
モダンローテーブル,Modern Coffee Table,custmize,motion_none,ground,ground,object/map_object/ob_1000_0005.ice,8362f351d842b896fe8b8090a81706aa,47ed905a3bdf1c8c2277415e08f93544
クラシックローテーブル,Classic Coffee Table,custmize,motion_none,ground,ground,object/map_object/ob_1000_0006.ice,fe2fa4b85210fbc15968053de3420c7b,e47ba19ca97384f2fa007ecb8922b611
ワノローテーブル,Japanese Coffee Table,custmize,motion_none,ground,ground,object/map_object/ob_1000_0007.ice,c4c510395186b43d5261dc2fd25beb66,93efe10c3afa75fda97dfa73f4adc6e7
ゴシックローテーブル,Gothic Coffee Table,custmize,motion_none,ground,ground,object/map_object/ob_1000_0008.ice,abfd9b2358876a408d442f60dca48997,a2677d0b70bd2332d4d6ee90e1732579
モダンマット,Modern Rug,none,motion_none,ground,ground,object/map_object/ob_1000_0009.ice,eb3d2a71a49eabdfdfbe5b79418f6ee7,76411bdddad5c6b7da7350cd85a03dbc
クラシックマット,Classic Rug,none,motion_none,ground,ground,object/map_object/ob_1000_0010.ice,c51add39f206d27d01c7337a19afdf86,fef9a5456b102bb098610521bba8df29
ワノマット,Japanese Rug,none,motion_none,ground,ground,object/map_object/ob_1000_0011.ice,b2fc2692be4e93c4b0f93e137c19c00c,445e542a0bcf07abd7c8d9a6e7e33993
ゴシックマット,Gothic Rug,none,motion_none,ground,ground,object/map_object/ob_1000_0012.ice,25a24970becc9744403252d22b99b99b,0a69ee8862a924b7ba01fc3e43ab37e9
モダンクッション,Modern Pillow,none,motion_none,ground,ground,object/map_object/ob_1000_0013.ice,36cf63bd4f2855f77ff81ac83494507e,ed1a03abd59ff048f28c6f724fceb38f
クラシッククッション,Classic Pillow,none,motion_none,ground,ground,object/map_object/ob_1000_0014.ice,30356720f2092aa07557b4b68d714615,e0018b48c9f58138ca5f917eac09cc03
ゴシッククッション,Gothic Pillow,none,motion_none,ground,ground,object/map_object/ob_1000_0015.ice,64e86c02a7a9e561206a048017340931,7d62e5d87940c1ab06f2de73304b26c1
ザ・ブトン,Cushion,none,motion_none,ground,ground,object/map_object/ob_1000_0016.ice,19e22b385c4bf06c67e7f208314cc060,9bd44014141249301fbf56f7587c0daa
