JP Name,EN Name,id,Human Hash,Classic Cast Hash,Classic Caseal Hash,.fig Hash,Substitute Motions are in win32reboot, unlike most NGS player files. The first two characters of each filename are the folder name
標準,Standard,000,d1\7c2bf10d774e6117ecd0187efba891,fa\4ba3876cbc915d1cbdc7249d9f820b,90\894c4eda83d3cb1dbdc152cf8b330a,1e\6d752685886f74ca30b01274ebb041
ミニグライダー,Mini Glider,001,90\110ab9d1bb767ec7fbaa8c0908b383,2e\31403d7b66c62d3d860bcf94780333,45\3959cfa6d64f3ab1917ff571f89eed,68\698dad1a36cdf4546604c2c9ef10e1
ジェットパック,Jet Pack,002,45\dc424d280b2f402e57553652b3bbaf,bb\1becf30b4bedfe6d3270b0632194f3,ec\3603ac2ba57666222bed08c2fb5ca5,6e\c795eb5652b7b9a1da86b9496083bb
ジェットフレイム,Jet Boost,003,a8\8a36b70033ee5d1fd46d4494e751b0,4f\2147d1b9dec2e17f3d1c320ca1040e,41\692707e68490e1a6d3f9ca76fae82a,76\8f7955be5b3477e0c483b3962ac27b
光翼,Angelic,009,20\faa49859db493322cccf5d2f65a002,f8\c9bb0480578093b23d7ccff14eeeef,2b\3a709bf09c4e2c20e480b011c9b6b9,53\acf189e1f325f0df909638abe57642
優雅,Elegance,011,d0\715d5ab83bc19098b29f39087066c6,e5\7e8ad2ae25b78bd834ec1d7a6b49d7,47\f4e408a2f0a1dfd78141f53448f89e,8d\d67b085732fc22a2f21be4b2a13ae2
[Unnamed 12],,012,3f\24973550041f4985f1a997a4e47ac6,17\aef80362a236ac101469030fe76820,a4\ac8538eea50f7568d0a979adbb1a1d,b4\2fe74fd0b1de3ba08bc3cab1545213
ヘリコプター,Helicopter,014,37\7538303886259dede718aac5838b03,83\586f53e1860c216caeb4e68d448d95,d3\7e5f3820b52ce505f7dd708d493804,41\b19ffe33ac1e6e409898190150db82
エアロダンス,Aero Dance,015,1f\420b52251290e21ed19c82b05cce1b,a5\a2c088155cd653e6bd6fa7d1bcc111,ab\bc8f1a58746a07e8f6c847eeef4233,90\5412f186943b09d800a4c9ac427d65
ダイブ,Dive,016,34\462596d3ef87d2ecfa13482cab2feb,ed\0f6b8c5a2e71b12f72c849e576b5c2,d9\533cf897e9de20dc34349429757d13,00\9808c347e6ad86b84281686bc17e72
飛び蹴り,Jump Kick,017,52\1bc9920d8a8c936fd6c5e1febea0aa,cd\fb3995aa76bf77f41cc61de74ecd96,a6\11802d934a0ffa2340e4328da3c403,bf\31efba86d4a94bb39d9e8b2ec4245d
防御姿勢,Defensive,018,93\5113a438d108a03d9950fb915d7ad1,60\8c9e5a57bb9a29bd48208ee38e0825,a0\66a7ed5cd0fe1a2731fc875b337c7c,6b\ac9e8fa71251855fc1ad59d1275f11
内股,Dainty Drift,019,d2\5d39d4d793f492a2266059c9be4f33,35\6e12ff43327eb5d10827037e427475,cc\0051f2afe943a543b6538da89fddf1,6b\ad90cacd284f50c20cff12dd7043e7
[Unnamed 20],,020,cb\85a4fc66462a5b86a64b22ea0185e0,ef\692f7b4ffed32303ac5021b9bef8eb,b0\5df52c7b01d4e61f98dfdc023e95e0,50\ed064de45a99cadf98560d0846063c
エアボード,Airboard,021,0c\938660118fe01d113b2e808435adb3,91\a453abc8201f072734efdadfcc613d,c6\ced12cbf4a2aba860750e2557e0e73,15\ab4f85b41fa132998a6be0a62b65cf
ラッピー,Rappy,022,05\be115e0aa0fa678ef19425672ea54d,27\c2174f282ef01179b7e2bfafb9629a,48\a4ccc74a1d8f1aa8c30c1db19d50e1,a5\1ee8888e9e29ef83088140517432db
テイルス,Tails,023,8a\0a6d9d4ac49fe1e9de1db059b619eb,08\8716118cff51ff7d58036539eee89a,61\05b1e7822fb4f2da99bd43d7dd3572,92\0a01a8ef0a0e37d1f8d7d6542c82dc
[Unnamed 24],,024,99\2ce8d721ebecc375516878d528f020,02\a484b50dbcdba59d88164ffc365372,98\f3e0c69d941bff1dda5b5f5d0d2c4e,17\c91cc81be381c926b12a607cd19f0d
[Unnamed 25],,025,77\c894a063b095b8653ce241313003f3,c4\de445a254db53e6ea8d3e24982e1fa,23\42a4058556315c39759a51126171a2,a4\3fd7ca63d1159f3f4ced66293a02e1
空中歩行,Airwalk,026,57\c40e7844b5e0e67391d8d5a2b2f63f,d1\d63916eb998b5ae68b71cecaa38d2c,48\97bb509ad6ef77d68332568703bd2b,01\29c2a2daaa57a540b11aecb17d33a6
ミニグライダー2,Mini Glider 2,027,bc\2e3daa2e6badd97cf1873cbbda36a3,4c\afa4375bbee56e009dcc18ccc5700d,d8\6c891074d32a3d1e22a8a0a1aa459e,32\c6f2df92abfe135917834f02908efc
雪煙,Snow Dust,028,3f\c29056c995709def7ae0b6c6edb954,92\323e07a9cccc094f8b78dd483c0778,32\c77d1529103623b7c9636166a61c57,40\c7756d7dcc39dbc8ac79768850e170
火炎,Fire Mage,029,ad\c1c6440a3f53fa235bd32d740d4cbb,48\6417a5086d5d459866536d0cbd4f0e,34\1191b3cd3db7d438bb9331f3c8ea43,e0\b0b87fd10e41c9c10f257b8b378d2f
Rマグミニモ,R Mag Minimo,030,8a\8475be61e5da19adad98b1a13a1d7b,14\cd7dc164c42baaa89564a5cf4c3141,70\6738c160b6e88321b4f5ef638279ce,8f\4e326fe5d3a71ae3f3b35637662cd1
[Unnamed 31],,031,04\4cbebdc1d1b231f209c80fb1a87f7c,d5\4f12380a98e68d3f26358754fafda4,bc\2ce0b1abb69856c276a27f86477179,93\137095971e2565c458366bab64b797
ダイブ/B,Dive/B,032,80\5a22c9be67df86758b2b69c2824a53,6c\d1a73959f0e54efe759bbe0ececb15,2e\f89507ad0a296b8ffdc7782621cb3f,1a\155d2d7c79500deb73dd5f322eee52
エアファイター,Air Fighter,033,f4\7a873fdf528bcae79d03909ba77d4c,4c\4404629e39084e46d11b9e269786d9,7b\103b4483cfc9db0390b85b9b078bcc,4e\149bdf90268061c2ce842f67a27358
雲に乗る,Cloud Riding,034,ca\c2a5da1cba6a4a93b4e79605e17753,eb\23d66d780abd5b93035aa597f7773c,ed\93fce719c86c184e311b96c95f4d1b,5e\12c4a45e9e202135ca87aa92e40ce7
パワフル,Powerful,035,d2\3503344a4aa0df6fdb6b975a86713e,b6\f7ee5573d839c9a62a6c711500c76c,12\1b23a59ea063b40ac15f0a75bffb5b,cd\19f7c2787ab2de64adb5379ac5aece
翼を広げる,Wings Spread,036,90\eb5a77d548a3a45a7ffc3269b9464a,93\ec33c91efdccaeac016ef16301c697,44\ee077c9a1d259312528fb02d67b688,95\dc2b37c2b8031a66148656171779c3
[Unnamed 37],,037,e3\e50430b6aa0409bdaf0803279d55f6,e7\7bf17e2c9e88444c2f50e81cd878be,15\073a6f6ae9183c0142042d6777a623,20\d365df3ab4357c4de8e3094dd20f97
カイト,Kite,038,53\ca8a7a1b99858718b88d11493805e6,e5\516e719efdf99e4906667edd789ad6,3a\1be0d063cb6718aaaf5384fc14e404,70\5ec9861e933a7ac301afb77b1c65e2
[Unnamed 39],,039,20\589f537a18434a6a3623615e094b49,a6\a30c56818497ddfcfa3eaf6812b6e1,05\7cbe6986e7c42526309969229c3451,15\d2772b35f61b5a5b34f744f743606c
帯電,Charged,040,78\96534b1c25a67faf104af348797324,be\e75c993e972cecc24ec353db583dd4,25\054d1bac1f75ac8f0be63e09e669bb,a2\ab708808e38be7c5748dbbc7a9e063
ふわふわ,Buoyant,041,f2\1fa543ee291010bd409c579a603604,21\7de747a63941d3a81dd107cf51d00c,96\c210a68665ccf31f56615eddbd2ed1,3d\58d95fd2b38c1de1bf6be48cadc320
チョッパー,Chopper,042,bb\c17419fd5ec6d01b18a3b7a4ec260c,69\6ae38ff8b4272f72154fe412f6bcbc,2a\a6bc3b6aaf67e3beb4a3004427bcde,3d\773bc4fc957423c654645f9733f045
標準/B,Standard/B,043,80\a29642c3ae6a7762385dbdb758a267,34\7b22503126a9d46a9aec7160d9407f,27\ef5df486588810e78c073504469b70,a9\52d3c821446ced5cf046d852598b89
ショートスキー,Short Ski,044,19\e1e80a3e5318461349be1f80835dc2,4f\94fafab54eb27e2082df9ea336d409,6d\c280e44cf54c89a2790b0f669a097c,3f\a3f9a7e68f154ab622f8a3901c8a86
傘をさす,Umbrella,045,c1\b6a6fa1f3553e6bd67a140b690d47e,d9\bfa37a49e4387e516ed303d976523b,5b\50b09609d2f41008629cde6c261bb6,95\74fdf982cdaed6a2a4bc37dc9c5f04
ワーキングロボット,Robot at Work,046,e4\7a3bc27d29b039f613baf90a602639,ee\d4f74e9bbe62f1199bc70e1191dae3,13\101a800f4d2857a7116c32adade2e8,74\d695d538ec5effc6bc6aa298bba6cf
標準/C,Standard/C,047,85\793c31cc836a1377f8253246994c4e,39\7c5dc4cf540dfd3dda1bc24e772b52,bc\677726c8ef77f1182b4a5aa1ee464f,fb\05f7d43740150e9e1774d3dfd7e787
ヘリコプター/B,Helicopter/B,048,1c\f69130bf377e63e32a6938ecd8c6db,17\f1ab949dc2ac251c1476ff155c2a1d,1f\3d4658bcc7bc70d03da9aeeb280a08,8d\3eb1e0a728a987cf392158936ebd88
ダイブ/C,Dive/C,049,d9\d47e2703fd658ed80125d57d2ce601,75\60e041ae49d37f198197e9d6eecdad,13\51181c7cbbc2ae593b3a152cd419e6,01\143312d8d85ada7b9f144e6ffd7fc7
ラッピー/B,Rappy/B,050,23\ded962c28329352e6ee99982b6c5e0,04\a9a5ef2e841681227629025dee80bd,75\93a4fd125052e4eda508317ca4bbed,c8\90e5187dacb4f13b6faa27ba316438
ジェットフレイム/B,Jet Boost/B,051,95\02b5607f064a2cce44967fda146769,ed\a881c6883b3f4bb94ce67c5aa96cd5,23\09df89cb83c8e76df32d68e27b7d26,30\2e2372b25b8961900c24d3c0788516
[Unnamed 52],,052,82\92e68bdf3892bb7f3b3287782f0a68,9f\4d621ac7081030369a5b2ac2c8c65b,f4\017dc22d5f35c18c2d1f82136bfec0,a5\3ff34775773dde00f4c62bb4cb0ec3
ハトスケ,Hatosuke,053,cb\f7bf5af66629c11aa6dd723e70d95b,2e\5684c2324d2a413d94fdf559d36cc6,12\3a50a62424954ad69c24721bd47f82,aa\35f14ceff9f2612da4447dba0938d6
腕組み浮遊,Floating with Arms Crossed,054,08\dccfbb2f048a556613b14499fae457,19\cab9b13e057582b575695edf21afc4,e2\d09dd3a457dbed772ccf66948c4014,e9\9ed7f6285328a06dfd1e350cca272b
カジキライダー,Marlin Rider,055,e0\0af27c828fd3a86ecf160515e8263f,72\2edc1a3c1aef3d98750267af9e6a0b,38\950065377fc33f006e9519874c1491,0e\a119ae126cce1812c6a909e5a20908
ジェットフレイム/C,Jet Boost/C,056,ac\368738ce0b2593cb1a49533b01d517,c8\d7f837078b0659f06c3b1b6fa9d2aa,48\bbda5cf87178b900cdbeac68a26a13,f4\4d061905e88f7dc4b8dab3b5e3ff64
パワフル/B,Powerful/B,057,1d\cbcf2466898b6e25bc1bf8c15478c5,9a\bf7b92a971e984b172659209c54c89,43\76e61b66b43ad4ee46f684450fedf6,32\42b9c409fabbd46bef50a23152b1fd
箒に乗る,Witch Chair,058,1f\30b1f32aebd6e8cd3bdc6b49b9d486,8e\08d436b1035b3866f6c74ef0cd3254,3d\435f9ef893009a214f96839eb497ba,f9\4c7ccd50b7bc54c05a3971ba56527e
スカイグラインド,Air Grinding,059,81\2974d12c8d35e876987fc85ecc87ce,7e\6372416b1a144fb5077fc0959a2d0d,2b\0f559a5322b0714c107aca03a6b58a,1c\b32872c13a2f90b042d93dd8283851
カジキライダーEX,Marlin Rider EX,060,54\be22e6c694148b5b0cab1e17689cb0,16\73cbed991347d85b6310e7b96881af,6b\c63a9f4e9a8decc67a291e73ef68fe,64\08ee7c483424e37364798f191be1f9
パワフル/C,Powerful/C,061,bf\428a2afab3a6eed4efb23d13066b70,ab\e57b5a4ab91a732eca47a55a31cd5c,76\6f83228fbad9ae995b7dd950f30f09,76\c6abf9504371426e06dbe8d06ceefb
内股/B,Dainty Drift/B,062,7c\c92c6f8c00085052f36f3863d7e86a,20\403e7cf583622e1090e7b778c0539e,2f\8a4eee748313d3278d3e819fe03c3c,1b\1fe1b116cb101263f9a808b5879210
闇魂,Dark Mage,063,01\be594446fcaaa80cf631ec4545db36,e4\c97be83faf454aa43602e7c70caa87,63\f636868066e46ba75e59cbdd852e3b,86\773bc53157f2785e784e7fa83ea721
プロペラエンジン,Propeller Engine,064,c7\8bf479e9ce852e9d03181f627c66b8,a0\b1b642faba2912ecd57908213889d5,8e\d09ef85e323762e5275a7e0d9c39e5,5c\480c8156f4bf986f7c6822e2ec9278
翼を広げる/B,Wings Spread/B,065,e6\c0b2dff521897d4989dc7d3c01a112,a4\3bee63eb4d80598856f32ee4b8e8ba,70\9e089c49c066b8efe5acde1bbb1e5c,7e\d2736e88a967e80bdf4475a9972346
腕組み浮遊EX,Floating with Arms Crossed EX,066,e7\eda46cbb08be44a69356b6c0cce5a5,35\2a6186e5a94b1410378ba6ef420c7c,84\d6bae27f1ebca62a741729acb35d3e,c3\48cc9a4b04af1e4a375a1b59c49f7e
火炎EX,Fire Mage EX,067,68\ae179cf687d3e07a0da36241495217,42\9e1cb78aea3cbd1fa73cb714425382,d5\15be2d0c5d4c2e8918f059b3743c17,da\7b9ad2667d828b46822aa9bcd2e35e
