Japanese Name,English Name,Id,Adjusted Id,Icon,Normal Quality,High Quality,Normal Quality RP,High Quality RP,Linked Inner,HQ Linked Inner,Sounds,Cast Sounds,Material Anim,Material Anim Ex,Hand Textures,HQ Hand Textures,Hair Model,High Quality Hair Model,Face Model,High Quality Face Model
,,100000,100000,01a0c649807199839ea6215a110dabbf,0bd5b01bbc2d17ac77c4eed77a3934f7,b974444259cc3bb97ed24fd91603422c,,,,,,,,,,,,,,
メイズクォーター[Se],Mates Quarter [Se],100010,100010,bb819f320280d7e5024426f7bb8cf8fa,57452faf3db8c574f20c2e4b0c81ef3e,f3d27bccac74079e2d1149b2e3d80a0e,,,,,e386d0c6cd94bc6f27cf3d218d801a56,,,,,,,,,
￥[NPC]ＮＥＷアッシュ　ＴＶ１　Ｃ１[Se],,100019,100019,,97d760704110faca25daba5713b03016,143884297380195042392d13478acf00,,,,,e386d0c6cd94bc6f27cf3d218d801a56,,,,,,,,,
オペラーテユニヴス[Ba],Operatii Univus [Ba],100020,100020,2c8fb1762220f1e96ed2498f02d38b12,0514158cd1345a3405cde47c5818fd30,f335dfe984670ba03b386ec9559ed45a,,,,,e5daa54833296b752cf6de4554eeb8f1,,,,,,,,,
オペラーテユニヴス/2[Ba],Operatii Univus/2 [Ba],100021,100020,9e73c0e3519739a5146e50dca42345d9,0514158cd1345a3405cde47c5818fd30,f335dfe984670ba03b386ec9559ed45a,,,,,,,,,,,,,,
￥[NPC]オペレータ男性服]　ＴＶ１　Ｃ１[Ba],,100029,100029,,,,,,,,,,,,,,,,,
クラークユニヴス[Ba],Clark Univus [Ba],100030,100030,05f9e9b6ebad6b1a71960280d9d3264c,777e00ef5c9e536855a5caa2b095d2e4,60333ef7e34b9a5fcb6f6ba6711f9a07,,,,,e386d0c6cd94bc6f27cf3d218d801a56,,,,,,,,,
クラークユニヴス/2[Ba],Clark Univus/2 [Ba],100031,100030,13be426710ebd00535465f8d98b8eaf3,777e00ef5c9e536855a5caa2b095d2e4,60333ef7e34b9a5fcb6f6ba6711f9a07,,,,,,,,,,,,,,
￥[NPC]セントラルショップ店員男性　ＴＶ１　Ｃ１[Ba],,100039,100039,,,,,,,,,,,,,,,,,
ゼネスティーフ[Ba],Zenischief [Ba],100040,100040,67e9a0ae07f1d2027e71838ab4fa8390,335d576c632b994ba24849fc116a21ec,264cf0f9e0ac3686d62e28e8847e9a61,,,,,c1211982ac1b547053ed1012be982e84,,,,,,,,,
