Japanese Name,English Name,Id,Adjusted Id,Icon,Normal Quality,High Quality,Normal Quality RP,High Quality RP,Linked Inner,HQ Linked Inner,Linked Outer,HQ Linked Outer,Sounds,Cast Sounds,Material Anim,Material Anim Ex,Hand Textures,HQ Hand Textures,Hair Model,High Quality Hair Model,Face Model,High Quality Face Model
ベースボディT1,Base Body T1,100000,0,c8d8fabb4ca6dfff68b9d884f248aa1e,f65a2a073f5550ddf04717ccd5267ccc,195fac68420e7a08fb37ae36403a419b,,,,,,,,,,,,,,,,
マイティボディ,Buff Body,100010,0,9ef2d3000ee7265dff98b98595202d70,508482e9d5b01bfbd7d3d61e1363d8bb,a783f6d313241bd887568eec4b028197,,,,,,,,,,,,,,,,
マスキュラーボディ,Muscular Body,100020,0,6349209688c203aa3034b7b6395d9043,d6a02afee00ae667f119c1e2a7628c01,de995dbb0d2c09bffb00893b66dfd6ac,,,,,,,,,,,,,,,,
スケイルボディT1,Scaly Body T1,100030,0,7499850f2f1a99bb81093453a1ecd4df,e58df3a18de193bd3cbaa5c65a64a015,ecdccf0cee4e0c205c88659f06816f20,,,,,,,,,,,,,,,,
￥肌：うろこ男：赤　100031,Body: 10018,100031,0,,,,,,,,,,,,,,,,,,,
￥肌：うろこ男：緑　100032,Body: 10019,100032,0,,,,,,,,,,,,,,,,,,,
ベースボディT1/B,Base Body T1/B,100040,0,973b28627ae8a408e573203540762bf6,6d7573b27fb42b35ab828b628cda64bb,ee351ec0b3f2fcd9bf5fc9175a81425f,,,,,,,,,,,,,,,,
トラガラボディT1,Tiger Bodysuit T1,100050,0,12ec61772b927d9ff24d2cc670492f9d,0c8412e6a0d9fe914235effabc30f9bc,ca7ed27d059848db8ee9aa8fe62bae63,,,,,,,,,,,,,,,,
￥トラ柄肌男：白　100051,Body: 10022,100051,0,,,,,,,,,,,,,,,,,,,
ミャオーンボディT1,Feline Bodysuit T1,100060,0,c62a54c990c5049af6f42dfb0a660aff,9d2c2bc3b8896bd007c9e1cf1cbf7e13,e6536b31cc059e19543fc2c8068031e9,,,,,,,,,,,,,,,,
ストーンボディT1,Stone Body T1,100070,0,90637ba1aa4d3dd037c13661bc41f78e,378a68d4b337d1566641044566013dad,f1fdc3c63ee83e3c16bb40510701d194,,,,,,,,,,,,,,,,
ウッディーボディT1,Wood Body T1,100080,0,727450c642568247a3b6004a8cbc4362,25d1bea85ad678d40f99a0b7a95df0c2,e6168a8e00db65a3b8bcfd2396fdc3b4,,,,,,,,,,,,,,,,
