Japanese Name,English Name,Id,Adjusted Id,Icon,Normal Quality,High Quality,Normal Quality RP,High Quality RP,Linked Inner,HQ Linked Inner,Linked Outer,HQ Linked Outer,Sounds,Cast Sounds,Material Anim,Material Anim Ex,Hand Textures,HQ Hand Textures,Hair Model,High Quality Hair Model,Face Model,High Quality Face Model
[Unnamed 40000],,40000,40000,,,,,,,,,,,,,,,,,,,
ディスタ・ボディ,,40001,40001,53802130ecc0acf4e30c51142a671fbb,da2b663844e3cac930b9333565bf61fe,,,,,,,,,,,,,,,,,
ロニア・ボディ,,40002,40002,6c8ad030f1e1ca5e8af6b2d4150c9f1a,49cb284c7363c9ee5ab33137afc198b6,,,,,,,,,,,,,,,,,
ファウマ・ボディ,,40003,40003,b8625710b4ffd3c2c6932735d0538770,6d0c875fb777d4e036e63ef033db716a,,,,,,,,,,,,,,,,,
ジョーカ・ボディ,,40004,40004,77c2c6720ffec1329b84041477f74b15,e9bec7f0e15d46dd7990d43c355fc280,,,,,,,,,,,,,,,,,
マギウス・ボディ,,40005,40005,c9d4ff29b00aad2b0c3228aed197d73f,bd3641ac1aa4a772656e68099b54778e,,,,,,,,,,,,,,,,,
シェリフ・ボディ,,40006,40006,865c0ca1af32d340b3607b1d926c1960,a52ceb25e5e36a53b320dc76d76cd730,,,,,,,,,,,,,,,,,
コロッサス・ボディ,,40007,40007,ea18a2602b5204f9b5e3449aea7c65b1,bc3c99ad79cb2fe521ca2d9e09489503,,,,,,,,,,,,,,,,,
バルドル・ボディ,,40008,40008,f7723d8535bc327ae4f43a52b0222f95,1dc150ffd617426588532453f1569495,,,,,,,,,,,,,,,,,
アングリフ・ボディ,,40009,40009,4243e72941477a11f854d2b7ce2ddb5e,1500f67f321390c9e16a06a6db4fd09b,,,,,,,,,,,,,,,,,
メルダー・ボディ,,40010,40010,74e43d939e49dedfdf72352b11fb9f47,a42bd90eccc1370729376766c20f2aec,,,,,,,,,,,,,,,,,
ディスタ・ボディＣＶ,,40020,40020,676201bd36894ee5f52ed7d28b98dd19,a0f65900a4c3aa61808747efa70c06f3,,,,,,,,,,,,,,,,,
[Unnamed 40022],,40022,40022,,004f934127d3839086e00bb96be01e4d,,,,,,,,,,,,,,,,,
ディスタ・ボディＧＶ,,40023,40023,540d520118e8bcc005d471a7b6ea7896,83a42d730fc3640ff6fd01a033c93971,,,,,,,,,,,,,,,,,
ロニア・ボディＣＶ,,40030,40030,3f23e541e923812f3c0e9e22097e69a7,4fafde88c0a3ef166f6259ddfa60f71b,,,,,,,,,,,,,,,,,
[Unnamed 40031],,40031,40031,,87e1a11ba939ad03184a87b0c3ca42a5,,,,,,,,,,,,,,,,,
[Unnamed 40032],,40032,40032,,f86479bf3f03c4bf362902dbb357dba2,,,,,,,,,,,,,,,,,
