Japanese Name,English Name,Id,Adjusted Id,Icon,Normal Quality,High Quality,Normal Quality RP,High Quality RP,Linked Inner,HQ Linked Inner,Linked Outer,HQ Linked Outer,Sounds,Cast Sounds,Material Anim,Material Anim Ex,Hand Textures,HQ Hand Textures,Hair Model,High Quality Hair Model,Face Model,High Quality Face Model
なし,,0,0,,1b305897f5c710a75704e24565bc5f42,,,,,,,,,,,,,,,,,
胸毛,,1,0,,19469fe0ed86026982a77de0e2e8e811,,,,,,,,,,,,,,,,,
タトゥー,,2,0,,d3b0ec078eab4bb0e392d8e8fbc0f898,,,,,,,,,,,,,,,,,
胸のキズ,,3,0,,ffb19aa7347793c0385e82f31a39ff83,,,,,,,,,,,,,,,,,
アンダーアーマー,,4,0,,198b30f1c8fb3fdd6224f8668991ebbd,,,,,,,,,,,,,,,,,
バンデージ,,5,0,,bdbe7864cd5d7abdd475a833a43099ba,,,,,,,,,,,,,,,,,
,,6,0,,7031db373d1648f8e2e74fc41ed6d1fc,,,,,,,,,,,,,,,,,
,,10,0,,,,,,,,,,,,,,,,,,,
,,11,0,,,,,,,,,,,,,,,,,,,
,,12,0,,,,,,,,,,,,,,,,,,,
ショルダーウィングＭ,,20,0,,d3fc5e5713745c01f622139f293b3119,,,,,,,,,,,,,,,,,
パイレーツＭタトゥーＡ,,30,0,,b9d4e4e05eb5508ab403f29ef3928293,,,,,,,,,,,,,,,,,
パイレーツＭタトゥーＢ,,31,0,,3e376ca51fecf6d58447488274c79c96,,,,,,,,,,,,,,,,,
パイレーツＭタトゥーＣ,,40,0,,559cf0f179e5f5a535c954c9b4a4adbc,,,,,,,,,,,,,,,,,
パイレーツＭタトゥーＤ,,41,0,,118aeebeb786c222793f7695c763e116,,,,,,,,,,,,,,,,,
ヴォルドラタトゥーＭ,,50,0,,a6853b72c3b97276f41a876f18c68f63,,,,,,,,,,,,,,,,,
アギニスタトゥーＭ,,60,0,,d673fb93053e5ab3fa90637a6f953057,,,,,,,,,,,,,,,,,
指ぬきグローブＭ　黒,,70,0,,aa391b1b3c0ccbb20ccf3728115c0b3f,,,,,,,,,,,,,,,,,
指ぬきグローブＭ　赤,,71,0,,4df1d3404cbedb2a1738d3fac9a06914,,,,,,,,,,,,,,,,,
指ぬきグローブＭ　白,,72,0,,528029229bba45a7e697a632adfbc7de,,,,,,,,,,,,,,,,,
バル・ロドスタトゥー,,80,0,,1105ec898c6106c34c0e4a58efc1c342,,,,,,,,,,,,,,,,,
ショルダータトゥーＭ,,90,0,,d3d40f4be9c001e36c2b5246d118fa22,,,,,,,,,,,,,,,,,
ショルダータトゥーＭ　青,,91,0,,f5c3ce36559acfc1c2ece553603a8796,,,,,,,,,,,,,,,,,
レントゲンペイントＭ,,100,0,,2d52f4fda999b8789a245d5bd27dd2cb,,,,,,,,,,,,,,,,,
ブレイズペイントＭ　青,,110,0,,2422af1ba5a41fda2bf9a48aceaedb84,,,,,,,,,,,,,,,,,
ブレイズペイントＭ　紫,,111,0,,d860d8c2141fd24d651bec379677ff93,,,,,,,,,,,,,,,,,
ブレイズペイントＭ　赤,,112,0,,760495f40eb846129d6262ff08900ad1,,,,,,,,,,,,,,,,,
全身タイツＭ　赤,,120,0,,1b76be62ab536c17e75c3a4b4ec441ba,,,,,,,,,,,,,,,,,
全身タイツＭ　青,,121,0,,753d59d3b9487163c92f2451dd3ff79d,,,,,,,,,,,,,,,,,
全身タイツＭ　緑,,122,0,,00073a21bfd2f8b87e3e20972c5b794f,,,,,,,,,,,,,,,,,
全身タイツＭ　白,,123,0,,c4309c84f39f9a83005f9df527e9cb3c,,,,,,,,,,,,,,,,,
全身タイツＭ　黒,,124,0,,7c59808e4e9371dc13200b7e58a1c307,,,,,,,,,,,,,,,,,
全身タイツＭ　メタル,,125,0,,52db3e39e1ee3f030d1ba5665f1b591d,,,,,,,,,,,,,,,,,
電撃ソックス,,130,0,,bf3f9280f4a19c117364b52742ef8fc4,,,,,,,,,,,,,,,,,
オウガタトゥー,,140,0,,0d8119a9506f962c2b7f6876066c312f,,,,,,,,,,,,,,,,,
オウガタトゥー　赤,,141,0,,f4edce607b1acf3f6347846b5b2beb1a,,,,,,,,,,,,,,,,,
足袋＆手袋Ｍ　白,,150,0,,3ef97fb5362c14db7a924817a74b82fa,,,,,,,,,,,,,,,,,
足袋＆手袋Ｍ　黒,,151,0,,e0c5241c09c8a248e8f4479fc5d04fb2,,,,,,,,,,,,,,,,,
足袋Ｍ　白,,160,0,,9d287edf3d670f6ca5ba6ce1ca093108,,,,,,,,,,,,,,,,,
足袋Ｍ　黒,,161,0,,fef5356879685d5fb366912b51fed0d8,,,,,,,,,,,,,,,,,
パープルローズタトゥーＭ,,170,0,,484b500a762f5b64ffe38b2346de7ea0,,,,,,,,,,,,,,,,,
レッドローズタトゥーＭ,,171,0,,e7a588c4929af30222e7611712831da9,,,,,,,,,,,,,,,,,
スクールソックスＭ　白,,180,0,,936c740b30fbfa4106871dcc1bd8202b,,,,,,,,,,,,,,,,,
スクールソックスＭ　黒,,181,0,,35cb6ce47c1ed8ad124e9f3770f59e64,,,,,,,,,,,,,,,,,
,,190,0,,,,,,,,,,,,,,,,,,,
,,191,0,,,,,,,,,,,,,,,,,,,
アンカータトゥーＭ,,200,0,,8ba01f8c151e66395f03371577eba8de,,,,,,,,,,,,,,,,,
腕包帯Ｍ,,210,0,,d384c83a2407be3e9dbefad11c69cb7f,,,,,,,,,,,,,,,,,
ラインペイントＭ,,220,0,,27c28781203f52735ef71a585c60c63b,,,,,,,,,,,,,,,,,
クロームタトゥーＭ,,230,0,,9f61934aae367cfcd465f2c7b1b38a75,,,,,,,,,,,,,,,,,
オガルタトゥーＭ,,240,0,,4945dc765f32547a47b43cf670dd6cc4,,,,,,,,,,,,,,,,,
レッグバンテージＭ,,250,0,,9e55f34bd9bc5f091412fb420966c053,,,,,,,,,,,,,,,,,
アジャイルタトゥー,,260,0,,3d33d0c4e72f297fb0193c716c208287,,,,,,,,,,,,,,,,,
ファスナーペイントＭ,,270,0,,f46af664010959d3de140518e8a9cf31,,,,,,,,,,,,,,,,,
ムーンタトゥーＭ,,280,0,,f873183bbdd0b82084b55a03b684d1a1,,,,,,,,,,,,,,,,,
ハートタトゥーＭ,,290,0,,a912ffbfeb13596a86a3bbc2a1c6ad68,,,,,,,,,,,,,,,,,
サークルタトゥーＭ,,300,0,,87d0b10bcc26cfa211e40f9520252138,,,,,,,,,,,,,,,,,
シーリスペイントＭ,,310,0,,f6bcd3fb09b8677d1ae4eeee618305bc,,,,,,,,,,,,,,,,,
喧嘩屋サラシＭ,,320,0,,df9e8369e459bbb8c2dfa95e3378e24a,,,,,,,,,,,,,,,,,
アイエフタイツＭ,,330,0,,66c740b52dad2e4f2312ef0c6f475230,,,,,,,,,,,,,,,,,
メカ関節風ペイントＭ,,340,0,,8814f1e49699c732a134348ba8551301,,,,,,,,,,,,,,,,,
,,350,0,,,,,,,,,,,,,,,,,,,
,,360,0,,25cbe953e9723eee2c5d0e43ac9a5174,,,,,,,,,,,,,,,,,
ストレイトグローブ,,370,0,,f8604e1794e4be949bcab51cacd64d1f,,,,,,,,,,,,,,,,,
,,380,0,,6263f0182e65e8644e995986935ee307,,,,,,,,,,,,,,,,,
,,390,0,,,,,,,,,,,,,,,,,,,
,,391,0,,,,,,,,,,,,,,,,,,,
,,392,0,,,,,,,,,,,,,,,,,,,
,,393,0,,,,,,,,,,,,,,,,,,,
アステリアグローブＭ,,400,0,,ab703845edf4837664689ec92eca92ab,,,,,,,,,,,,,,,,,
ショートスパッツＭ　黒,,410,0,,bc1ee3a81892c1087e63ac997cdd40a2,,,,,,,,,,,,,,,,,
ショートスパッツＭ　白,,411,0,,872bbcb4632182e40fdf0620c7ac4ce9,,,,,,,,,,,,,,,,,
ショートスパッツＭ　紺,,412,0,,febcd1638a0b05b1cf2027de0873fb3c,,,,,,,,,,,,,,,,,
ショートスパッツＭ　赤,,413,0,,b9419f81c54b012e7fd6c1443b02b743,,,,,,,,,,,,,,,,,
スポーツリブソックスＭ,,420,0,,ef4ff5c6c4f60e32e43150b35cf535c2,,,,,,,,,,,,,,,,,
カブキテッコウＭ,,430,0,,0fa9ca70136171e8cbf80dc1fe154c70,,,,,,,,,,,,,,,,,
バックウィングＭ　黒,,440,0,,c6f523e34701fb11527075de30ff494b,,,,,,,,,,,,,,,,,
バックウィングＭ　白,,441,0,,3d17218fd0b8948fb45ca72e76b405d1,,,,,,,,,,,,,,,,,
ソードタトゥーＭ,,450,0,,fde533dd6500ccf35dfada2a742963d3,,,,,,,,,,,,,,,,,
,,460,0,,823c739512f55805f9da345a1cfa3e76,,,,,,,,,,,,,,,,,
ディレクトグローブＭ,,461,0,,97978d663980a4029dd31c75d9cc5eb5,,,,,,,,,,,,,,,,,
ブレイブハンド,,470,0,,17ee30bb4b80bc371bddbb283422f108,,,,,,,,,,,,,,,,,
,,479,0,,2e02445cd4380f7eabe21445af77c7ba,,,,,,,,,,,,,,,,,
フォリーグローブ,,480,0,,cced9e4c5e120086ba72114bb7697220,,,,,,,,,,,,,,,,,
ハウザースキン,,490,0,,cfdfdbaec7246f21e471756a661124ae,,,,,,,,,,,,,,,,,
網タイツ＆手袋Ｍ,,500,0,,f9c4c6abaad349da877f8a8cc8cd9fbe,,,,,,,,,,,,,,,,,
テオレマードグローブ,,510,0,,34491be3a788f9f16e1abeb6bf1a3ca7,,,,,,,,,,,,,,,,,
イルミナスペイント,,520,0,,ea1482b41120d04937d7916643a4564a,,,,,,,,,,,,,,,,,
レッグサポーターＭ黒,,530,0,,a1da7f3582e3391955b13c8da3c6ad77,,,,,,,,,,,,,,,,,
レッグサポーターＭ白,,531,0,,76dc95ed07211d7fb1531d76b301aeda,,,,,,,,,,,,,,,,,
ボディサークルＭ　赤,,540,0,,9e35ce62106900058c47296f2cd1b203,,,,,,,,,,,,,,,,,
ボディサークルＭ　紫,,541,0,,571b6a99fd2af77ebe53768730bc3aef,,,,,,,,,,,,,,,,,
天星初等部男子ソックス,,550,0,,f0a8e4223fe5c78a9674b5e5080bedd1,,,,,,,,,,,,,,,,,
リデルグローブＭ,,560,0,,4775fe24bfd574b1eb48b043e86e9dc3,,,,,,,,,,,,,,,,,
ナノブラストペイントＭ黒,,570,0,,4966e01d13e88aa19bfec4be543482f8,,,,,,,,,,,,,,,,,
ナノブラストペイントＭ灰,,571,0,,e93f584aa89a4f397b4b55916ef58384,,,,,,,,,,,,,,,,,
ナノブラストペイントＭ白,,572,0,,8c0ab960459f9da785f869804cc9d336,,,,,,,,,,,,,,,,,
ニーサポーターＭ,,580,0,,7469147a33cbe61830df0838d49171bc,,,,,,,,,,,,,,,,,
ボーダーニーハイＭ　白,,590,0,,1d6d5741f2a894eb1a717df4b393e04e,,,,,,,,,,,,,,,,,
ボーダーニーハイＭ　赤,,591,0,,1b9a8575f482ec97b8193cbec40048a1,,,,,,,,,,,,,,,,,
ボーダーニーハイＭ　青,,592,0,,9aeb05b3c8ddc08b79602bf3b0f3d9d4,,,,,,,,,,,,,,,,,
ブレイズペイントＭ　黒,,600,0,,c39506c82cf78ae780da9984ebb31746,,,,,,,,,,,,,,,,,
