Japanese Name,English Name,Id,Adjusted Id,Icon,Normal Quality,High Quality,Normal Quality RP,High Quality RP,Linked Inner,HQ Linked Inner,Linked Outer,HQ Linked Outer,Sounds,Cast Sounds,Material Anim,Material Anim Ex,Hand Textures,HQ Hand Textures,Hair Model,High Quality Hair Model,Face Model,High Quality Face Model
,,400000,400000,,e39966dbb663f2a2db6ab59002641aa6,47ce3cf03d9f30496d93e5fcb790af4f,,,a8aea6e433b36e5bdcbbc87176c5ee89,d62dff1009c85a9205d213a4d36a6d3a,,,,,,,,,,,,
ディアーレ・レッグ,,400010,400010,da352b8fa65560daa723783960774c1e,3bc46a5dc523bbf875ef374529398aee,21ab2936706958bf459c573f2d273e61,,,a8aea6e433b36e5bdcbbc87176c5ee89,d62dff1009c85a9205d213a4d36a6d3a,,,,6f7642f38befe79942629b17833f9467,,,,,,,,
ディアーレ・レッグ/2,,400011,400011,edbda444cdd9bd4e2fcb6eb61f282f52,a6bd96586676be4132f5b584a0e46fe7,6589060d4ac49408d40d717300b67f23,,,0df02f0c50359918eb06852b5e968d4c,993d53684030afb6f604a82e1db7e224,,,,6f7642f38befe79942629b17833f9467,,,,,,,,
コルセロ・レッグ,,400020,400020,480059bfc482fe44b803537694d9d20f,1245cf9f1f8848147b5a95e8f3f449e9,a099eb7bf35aad2d5c9a1e538d784d45,,,b3a9f7f3b07d55e867a9ff969cb5f4eb,2c898a20b32109789a55f82e1332afc8,,,,4c655122c844ccb947f8cfa5cd117255,,,,,,,,
コルセロ・レッグ/2,,400021,400021,a1dd8c245c890b82b5326c078e09aa7d,bc3f9307a09f83f00b1a5911f3ab4dcf,8b9e0e8177000dcf1f061c5797492970,,,733fd9993ffee0a29eccc0f086571f9b,61255c39aab51e8e4bc86733c3d6f4e3,,,,4c655122c844ccb947f8cfa5cd117255,,,,,,,,
ネヴァーン・レッグ,,400030,400030,c09fd83ade30a76e7be37cbc24337e22,ba21ec7be23b908bb86cf3c027d476a4,9c1c2f35b7029c9dcd19f3b4ef652018,,,1c168485a333f5f55fae41e29db0bd61,ef78aee1ed13222880655d2b5961fb13,,,,4c655122c844ccb947f8cfa5cd117255,,,,,,,,
ネヴァーン・レッグ/2,,400031,400032,d9e3064f945d5ac98a8da6351816bfd3,e745ff2b36bde030ab10f6a731ac27dd,47cedc0e412ca26d4daf9dc0b516e830,,,,,,,,,,,,,,,,
,,400032,400032,,e745ff2b36bde030ab10f6a731ac27dd,47cedc0e412ca26d4daf9dc0b516e830,,,2dc8ec9258b82180feaeefac31561a27,3436c90089e6bdfbe65709d2db578935,,,,4c655122c844ccb947f8cfa5cd117255,,,,,,,,
スヴェーラ・レッグ,,400050,400050,aaaf134dc04bd1310008cdf9e53bd1f3,f48292c1b3ee60b4918eab44bc8e125b,121bf8cfc623f77989c2cd42a5af50d0,,,,,,,,f2164fb7e0af4c02d3e9125bbc45bd32,,,,,,,,
ゲツエイ・レッグ,,400060,400060,d2cd68db516edce8a4222e6b52fd3780,c9f0a1ca9f3e8691385a1251c8b8ff88,c11c07cc8fa314bf03c4aa96edc44141,,,4a55f4b3c5cca257d9152d9edfbaba8b,b6e8a4fc2a40207d4b7227cc0815d76d,,,,6f7642f38befe79942629b17833f9467,,,,,,,,
ゲツエイ・レッグ/2,,400061,400061,bb530b10c18cfd36562bd525d56ce8f6,4d9e40821afb6b8d0ba7bff35e05126e,009396d2d7eb8ca9852f6120afe47d53,,,69db7f981458b8c82a181ec563ee4c1a,f52823068b99d2951517f067522b30bd,,,,6f7642f38befe79942629b17833f9467,,,,,,,,
シャノフ・レッグ,,400070,400070,1a0709a51aabaf28e6daf48c3ef12604,065888161a2a7d23355a130c09e00cb2,e70223940de1255160702b36b46c192a,,,c966a0eb0d149dc2b4e5f206b499d8a8,e43e64f78bfd7c0dd0df0325b88f6426,,,,318af74487fa823c8e6e248e9e4133f6,,,,,,,,
シャノフ・レッグ/2,,400071,400070,ed732ed585ebaf099b50233cfd2ccbb6,065888161a2a7d23355a130c09e00cb2,e70223940de1255160702b36b46c192a,,,,,,,,,,,,,,,,
スヴェラト・レッグ,,400080,400080,c365fffdf010989eb972cb3b2f63a785,90db992a0532cd0c175a0e363a5ed079,1fb51145832f60d2bb4b44f9f3d890a4,,,,,,,,f2164fb7e0af4c02d3e9125bbc45bd32,,,,,,,,
クロウリック・レッグ,,400100,400100,3e5c000668fecbceac021a28e92051fd,ef5c80703ce551f1194784d99f260aac,1ca99889e4ad2b1174448fc83c10045d,,,57d848c951c1af0c93e7c07e61bcacfd,fade41a08387437d6c2595b8bb881548,,,,fe3cb639f5cd7cd8c0b831817787f531,,,,,,,,
トイフェラン・レッグ,,400110,400110,98813256287865eab5be38f156063c9f,d1cf8a621e0bb01276f2408b93d094d2,fb04b08535bccbc82297f7fe2adb713d,,,,,,,,318af74487fa823c8e6e248e9e4133f6,,,,,,,,
ライディー・レッグ,,400120,400120,a8c0f7ee50caf85856c57af4aa5bfe76,7712ed71fbff9ea4e8797a3768c19780,e107801033039a2295779dbd18341fa2,,,fcaa29392a3dc05728a2223b2586e151,0e429cf093c71395dc1079124e6bcb53,,,,f2164fb7e0af4c02d3e9125bbc45bd32,,,,,,,,
N-ナイトメア・レッグ,,400130,400130,e18c7933c6f17901dce9db6d67214e3e,084fc59744a3ef80113c0db8bd5c1780,24c6089ebe393bd6079ab6a6d47f6854,,,ab10f4c470e2826b3c3db469da245c18,68b93d7d3ad8859ff42e5adcdb89dc9f,,,,6f7642f38befe79942629b17833f9467,,,,,,,,
N-アリスリーパー・レッグ,,400140,400140,31a21d52fadae8bc164e8392dc37b929,bc72dd56496af1640738ec5e48ebd9b6,60a9828650c10d291b8d0892baf22993,,,c6108126cfaaa37599a472d276cf6af9,e48e4c6c6d6f15127105b71f3fa8ddda,,,,6f7642f38befe79942629b17833f9467,,,,,,,,
N-サヤヒメ・レッグ,,400150,400150,8f05443c80bd4b1ba387563111465dcf,8e110e00293f3a6fe46186a5a11b92a1,19927741a1306381baf6f7bd4deedc1f,,,77a4006c3c916f1eebdaa838582d5e6f,9c985eca63852547815da22281eb3999,,,,318af74487fa823c8e6e248e9e4133f6,,,,,,,,
N-エターナルＦ・レッグ,,400170,400170,a1664971784d816c2177294db2e75b56,4751ed732b403a42ae6865e6c9440324,19fbf5ea40c0ef2bf94da51d37e9541e,,,772fdf18f92a1f9dc3ffd83a9e281c21,f5ac84195ec3105c79f3b0fd8e82409d,,,,318af74487fa823c8e6e248e9e4133f6,,,,,,,,
N-ソルリス・レッグ,,400190,400190,dfa5e5713069e5c05c8176a3ea16c707,0dfcd59246342e2b9ec21df0a26a54a1,ee1bb2556a6ffb6e3a3cbdabaa4bfb8d,,,fc12e118288106ad862a6bb1aecebd60,37c385b98770bcb8a9f03ae5f9b9168e,,,,6f7642f38befe79942629b17833f9467,,,,,,,,
N-アムアイラ・レッグ,,400200,400200,09380f116baaefdf42ab2b79c0b1fa24,3c0670df19123b0c56e79e5f96614cd1,837324a983567908f0bc7694eb2e520f,,,,,,,,bb88254c844f0d381fa5f22284ea4aff,,,,,,,,
ヘリーファルーテ・レッグ,,400220,400220,76db885ad3e98099e6d18b53a793e3ed,d76a77d5ada497c51c8ead10ae9a6995,14609b16343c14d5bec9c6d68c867d20,,,,,,,,f2164fb7e0af4c02d3e9125bbc45bd32,,,,,,,,
ヴォルキーア・レッグ,,400230,400230,5681f03a9e911209cf920ee05d9de554,7d83eae690854d269c257b0f2f9c4609,c0ace93ff7988beb32d4631fccc15b6f,,,c5e1f7dfbe3466a1459cebf5714e13cb,1711b8a15bcacf1c56bb3e2c0b7a559d,,,,bb88254c844f0d381fa5f22284ea4aff,,,,,,,,
ヴォルキーア・レッグ NPC,,400239,400239,6a18a11c7452aecff9bc47cb74909297,42e58046089337b6278860ce8304cd30,f98c046abfcc0de7eccf7c5198ea5748,,,c5e1f7dfbe3466a1459cebf5714e13cb,1711b8a15bcacf1c56bb3e2c0b7a559d,,,,bb88254c844f0d381fa5f22284ea4aff,,,,,,,,
フロリアーネ・レッグ,,400240,400240,5bf3dbaa499558abae8d1eaefd216bcb,bd374f4629ec79d6d47233ce22cd25da,02dc9087442dd39db1100d28e6bf1c5f,,,d266f4d196b952bc8a3272624e3d2e8e,5738961b9fdaf4d2655616e316f1c40c,,,,4c655122c844ccb947f8cfa5cd117255,,,,,,,,
イフェスティー・レッグ,,400250,400250,1c0c84b6612d641bb07a0ba4ac4e2a95,e048ac80e5f86d8786d25148d828e278,c5dc064c083a0c96d9c9453b0efc040f,,,c5e1f7dfbe3466a1459cebf5714e13cb,1711b8a15bcacf1c56bb3e2c0b7a559d,,,,bb88254c844f0d381fa5f22284ea4aff,,,,,,,,
N-ナイトメア・レッグ/B,,400270,400270,57b35dd65d9e8a386f6fcd6059029021,f3e94502cd9697210e55a60c2918e1a3,0e3a8c4136431d1dd0bdc59a8e933691,,,f88ce0e2c499d8821078b4c7de6c9199,6626c7d098443f00e6a9d0cbcf88b390,,,,6f7642f38befe79942629b17833f9467,,,,,,,,
,,400280,400280,,,,,,,,,,,f2164fb7e0af4c02d3e9125bbc45bd32,,,,,,,,
N-アムアイラ・レッグV2,,400290,400290,77b585080da7b98a4346a78f76e2f240,d3d47ff04c0a13baad4bed9a3aa68c02,26798edbe1d793092e77b40607c930d2,,,,,,,,bb88254c844f0d381fa5f22284ea4aff,,,,,,,,
ベルタスレイ・レッグ,,400300,400300,2c873fa6f4d3134df094f299287a4af9,88886d74bd14cd968cf7d3f42b0a8620,e2b10100a9e94cced5ed0cacc2300344,,,ea4097854ad6b34a1820614fc43a31dd,9499de2b17fb2c4a60650ede941b4aa6,,,,f2164fb7e0af4c02d3e9125bbc45bd32,,,,,,,,
