Japanese Name,English Name,Id,Adjusted Id,Icon,Normal Quality,High Quality,Normal Quality RP,High Quality RP,Linked Inner,HQ Linked Inner,Linked Outer,HQ Linked Outer,Sounds,Cast Sounds,Material Anim,Material Anim Ex,Hand Textures,HQ Hand Textures,Hair Model,High Quality Hair Model,Face Model,High Quality Face Model
ディガーン・ボディ,,300010,300010,316acb38aabe19f63e8d75ea5e34a156,67d7c4a69a1386ae7b4abd4f695912d2,12e1cd0918c38c28a5795c59527e2ebd,,,,,,,,,,,,,,,,
ディガーン・ボディ/2,,300011,300011,06734878b2a5ee362c7778dae36c46fe,d719820c0cc399aef28834d18a953abb,546f85f2149a6950d4a7b8bc04df37a1,,,,,,,,,,,,,,,,
ザンナ・ボディ,,300030,300030,4f1cd043f7543636447d41bded89f318,da6c20410c9736afe205ea3913f4128d,fb640b0b486fb8dd074b0bfcb9a34481,,,,,,,,,,,,,,,,
ザンナ・ボディ/2,,300031,300031,672336e01149693eae22c7f8acbe6518,53c62841942f8228745766d8e6dc464b,e91e19619d6486b72a7fcb40fc37ea77,,,,,,,,,,,,,,,,
デザンナ・ボディ,,300040,300040,470a676b02b3498c34cc713cdb4a1def,9fbc540a0c1406bc9ab42870f758b277,9bf3a0dce1a299f7d8b31471180ab984,,,,,,,,,,,,,,,,
デザンナ・ボディ/2,,300041,300040,45594463dc47cd4e57d917e8fbe595d1,9fbc540a0c1406bc9ab42870f758b277,9bf3a0dce1a299f7d8b31471180ab984,,,,,,,,,,,,,,,,
[Unnamed 300049],,300049,300049,,c09cc87b8df2567122e212a4168de54d,21d495eae27188b8b417a4dcd3cdb05c,,,,,,,,,,,,,,,,
ギャレスト・ボディ,,300050,300050,3f1cdacafaad85ff8f97b9265b60a7a4,de0cdde7d20f466898705e681592ae3d,74f298ee9a0cbb5d864dce148a0b20b4,,,,,,,,,,,,,,,,
ギャレスト・ボディ/2,,300051,300050,ad3a69ecd8c9314e3998550bd7218453,de0cdde7d20f466898705e681592ae3d,74f298ee9a0cbb5d864dce148a0b20b4,,,,,,,,,,,,,,,,
カタフラーク・ボディ,,300060,300060,b40ccb4a803cb22b63ef8fc1dfa44c68,f3b07ad5f942dad7aff33a183994a4b2,c5c23ead5065252f2aeefc4728fe1027,,,,,,,,,,,,,,,,
カタフラーク・ボディ/2,,300061,300060,d3ac7198021b53505a6cff3513c6ac90,f3b07ad5f942dad7aff33a183994a4b2,c5c23ead5065252f2aeefc4728fe1027,,,,,,,,,,,,,,,,
ヴェテルノ・ボディ,,300070,300070,84e1f2f880699c2ad63bda9ab927205a,c45ced128454ce20a1cc3c7290c16c67,a41db7ec6c789924064d7a2db3acddb9,,,,,,,,,,,,,,,,
ヴェテルノ・ボディ/2,,300071,300070,dc31ea313b1a9eaa33b71baa7a14dde0,c45ced128454ce20a1cc3c7290c16c67,a41db7ec6c789924064d7a2db3acddb9,,,,,,,,,,,,,,,,
アクラオ・ボディ,,300080,300080,72073da2687e9ea474c5740e8893e5f2,45308cd0832d165f0c4f1b5b46196296,b798d3ddcabb9d6b5058bd76cd0c6be4,,,,,,,,,,,,,,,,
アクラオ・ボディ/2,,300081,300080,aeb42edbeafa411b2f4ec83ec31e3d19,45308cd0832d165f0c4f1b5b46196296,b798d3ddcabb9d6b5058bd76cd0c6be4,,,,,,,,,,,,,,,,
ディガーン・ボディ/B,,300090,300090,725d2e1a2578a18746e78631b62ba0e6,e90b30e541cff62ad65a23fc88ab3d38,7b64bc3cf69812e9c934c423d2566ef1,,,,,,,,,,,,,,,,
ディガーン・ボディ/B2,,300091,300091,32d77fc892ff0855afa9d322d98f683d,8e08f57529b1618dd9a0f0e7b9fed154,e0442ceb89b6403fe716400bd7d3e3b4,,,,,,,,,,,,,,,,
ザンナ・ボディ/B,,300120,300120,6d441a12aa3e13ac3d5b1202a83f8cae,2db76c1d96a3cab5e4a8f9d96b8bdc9c,bca271619745a51988ba3c0bc7f7def3,,,,,,,,,,,,,,,,
ザンナ・ボディ/B2,,300121,300121,2d603f9be8117618eef12246241dba5e,68c9b9f4c3938f7ac576f48a5e237456,a4426c913e2595c7ffb3f9dee5551dfc,,,,,,,,,,,,,,,,
ギャレスト・ボディ/B,,300140,300140,df74b1fcb08126422a8b5dcfc1dc134c,2b9670f594bc7da4c37b954212d60af0,8dc29ee1cbd262a0717b6cdc2e5e9de2,,,,,,,,,,,,,,,,
ギャレスト・ボディ/B2,,300141,300140,469985cb1a71ebc02bbc06935b68a259,2b9670f594bc7da4c37b954212d60af0,8dc29ee1cbd262a0717b6cdc2e5e9de2,,,,,,,,,,,,,,,,
ヴェテルノ・ボディ/B,,300150,300150,2d9a2e75f552d4c909f8da16f92e57cb,ccb8ff9c788f78c1eb20946525240c44,4fe3bfc6a2964358abf71e42bc2ea4fb,,,,,,,,,,,,,,,,
ヴェテルノ・ボディ/B2,,300151,300150,e769108f3bd28b8c958a46e4e6d0eed0,ccb8ff9c788f78c1eb20946525240c44,4fe3bfc6a2964358abf71e42bc2ea4fb,,,,,,,,,,,,,,,,
カタフラーク・ボディ/B,,300160,300160,2c64e7c35d96d7bc9cd4ba21f186c74e,3060d357972eeaf1231cfae6fbd68e17,e8fa7491b7d5fd05bdfa57c5dfb38f46,,,,,,,,,,,,,,,,
カタフラーク・ボディ/B2,,300161,300160,5d68b0faa65c0962435b8a5555ce8de2,3060d357972eeaf1231cfae6fbd68e17,e8fa7491b7d5fd05bdfa57c5dfb38f46,,,,,,,,,,,,,,,,
アクラオ・ボディ/B,,300170,300170,745ee20f9583cc5f5af3828f2892b305,fa9b806872cf2192f5ed860590bbbe1e,df837b7e4e425c0ac822fab5ba73727e,,,,,,,,,,,,,,,,
アクラオ・ボディ/B2,,300171,300170,969227fb3a54c387a68ba63d44ca85e5,fa9b806872cf2192f5ed860590bbbe1e,df837b7e4e425c0ac822fab5ba73727e,,,,,,,,,,,,,,,,
カタフラーク・ボディUC,,300180,300180,52fcd31755ed5f83504b969f0537e5c5,747240ff421a9b9143b20e3227bfca20,8ec03c122fcf1b7288a70af114273dc1,,,,,,,,,,,,,,,,
ドゥーカー・ボディ,,300190,300190,0ba230244a3633070ad8dce97922f579,4d88a4a05b29352b62b911e374dc0934,0354c96f97fa2d774fce3c92fa767477,,,,,,,,,,,,,,,,
ヴェテルノ・ボディUC,,300200,300200,8763851dfcea02bfbc9418e381b9913e,e72692b32f926139ca0107ef3e5865ce,97aca4aeec4536a26921387721b07d5d,,,,,,,,,,,,,,,,
￥チャッピー的戦闘兵器TV3（ＮＰＣモフセンver）NPC用　ボディ,,300209,300209,,bcc350c1bc72f01be87d646a3054807a,9b38ec08b8ee95048023b79ccd040114,,,,,,,,,,,,,,,,
ヴェテルノ・ボディUC/B,,300210,300210,b3a152238eff17d32cd2c79bb7ea5417,85b1aff8da2cd87fa004df2298048e8b,0e40f029a4408f6d6aedcd93764490ad,,,,,,,,,,,,,,,,
トイフェント・ボディ,,300220,300220,12bdde1481b69e92ed4653c54f36966a,21da77b5037f88e75b509a12a106507d,09e8c17148cee6bd2c66cf8b4f251320,,,,,,,,,,,,,,,,
トイフェント・ボディ/B,,300230,300230,4adbb328182109a37770ca23e2f4c0d2,eb5feefc7b1ca4b1e6ec4975eeca7f2b,2caddf15150d1c5184e5d1a3b7607f6e,,,,,,,,,,,,,,,,
ドゥーカー・ボディ/B,,300240,300240,d63c2160ab6641c1d6e64667a2fa83aa,6777a388219d29dc71be1a487db31ef9,3902b371e6f019e9f47698f1a1602d5b,,,,,,,,,,,,,,,,
フーディー・ボディ,,300250,300250,e1a870026db1c1e455ed4484f422eea8,afb54622e96c7ad8f24786394a6bc261,191ecfd223203324d888df3fed10af11,,,,,,,,,,,,,,,,
N-ライナー・ボディ,,300260,300260,7ed94b99537b7889cc55f6e38f45b0ef,934888d04230eca96d0eab8b25b59803,eba9f4976bbaae40cb78a217c0f682b2,,,,,,,,,,,,,,,,
N-クリミナル・ボディ,,300270,300270,20cb6dadb2944839977bb0e8977db0ee,83250c35d68475efe89b4f71bbe3f896,2c201d535005339cfe29fb0fe18b28a8,,,,,,,,,,,,,,,,
N-シュバル・ボディ,,300280,300280,4626f238277c3ec2794fc39d051ad6f6,09b61c6dd55ebc245c4f221b922a225a,46403b39bcd81f2a14d11bb4abf75473,,,,,,,,,,,,,,,,
N-エグザギア・ボディ,,300290,300290,20b5e81426f178aa0f973c03d2a230f6,7dc50da355889e5fb470c65b7d45503b,e469ad9079fc812fe2ffb6dca071c9c9,,,,,,,,,,,,,,,,
N-ゴルンレオ・ボディ,,300300,300300,6d7a57db9e6bd7a14f843875a760f2eb,4b31065e79873064d16f8f57a4e9fb1a,994be8ba98a9b32898fbb0a9fda52898,,,,,,,,,,,,,,,,
