Japanese Name,English Name,Id,Adjusted Id,Icon,Normal Quality,High Quality,Normal Quality RP,High Quality RP,Linked Inner,HQ Linked Inner,Linked Outer,HQ Linked Outer,Sounds,Cast Sounds,Material Anim,Material Anim Ex,Hand Textures,HQ Hand Textures,Hair Model,High Quality Hair Model,Face Model,High Quality Face Model
キリットまつげ,,100010,0,b2716e6586a685fc301702123d71f377,dfc53fe690797ecdcf63dcd7f3cf3126,,,,,,,,,,,,,,,,,
プレインまつげ,,100020,0,4c4143726aa557893c2c521ee4c837d5,3e0ced5e40cb91fbbcf62e3d56d4e46d,,,,,,,,,,,,,,,,,
フワットまつげ,,100030,0,b5218900c6706a9f461013f4b9583ca5,97c1458a0a80d49cd26c11ac0accebf9,,,,,,,,,,,,,,,,,
カチキナまつげ,,100040,0,d453830e4c2676e85e4f79444c2bab94,8b0717cf79662d66aebb72ee4b6a1b6a,,,,,,,,,,,,,,,,,
ジアイノまつげ,,100050,0,dcbdca3a233d81a5a4aef5127fe2140f,8d074432386a8d19bdf3a735578a7256,,,,,,,,,,,,,,,,,
ジットリまつげ,,100060,0,ddfa73190c83ef9c3fb752c7a08e7292,e18345ccdfc47b966cdb0f764ba2bfc5,,,,,,,,,,,,,,,,,
キリットまつげ/B,,100070,0,69db10e8b56788bcd92ade3099ba959f,663ed3a06bc914617d4d4e92edf97a63,,,,,,,,,,,,,,,,,
ツヨキナまつげ,,100080,0,2763153b7c96842d285c74cd0a13c8b8,e1306c0242666c120ef52f2e669fef32,,,,,,,,,,,,,,,,,
キリットまつげ/C,,100090,0,42d6d49220fb3a50789632c7e1328bb7,a971dd6f1a25c5221dd7fa41f3e12519,,,,,,,,,,,,,,,,,
フッサパッチリまつげ,,100100,0,63ba227e2e1f8fbb293158ef0e4a5f3a,a2766df8b169239b0e3210d88bde234b,,,,,,,,,,,,,,,,,
マノニカまつげ,,100120,0,205ec44a81f296f67ad9900ff9f52d28,076f47516ea1f122f40e9d796d67aea8,,,,,,,,,,,,,,,,,
￥使用用途不明,,100140,0,,0700bbc2cf0704a48f12a370b48bab99,,,,,,,,,,,,,,,,,
アニマティカまつげ,,100150,0,8d8a465fef43f4e5fd30b919bc58ab66,2d52ca0b78420c72c78aec8f4d0dd2c7,,,,,,,,,,,,,,,,,
スキットまつげ,,100160,0,1ec6f8024dc7db76851073e8fc9d71ed,dd0fb461bcead2453e1d851fe0caca5b,,,,,,,,,,,,,,,,,
アニマティカまつげ/B,,100170,0,6aa3aee4c91d69830f020129fc8d239c,3badeafe8428d7754286aa5c9d462ea1,,,,,,,,,,,,,,,,,
フタエノスキットまつげ,,100180,0,49b029b20d5d4a9e584f35195042d75a,3b5ed6aacf509c21ab3f142bea2dbab6,,,,,,,,,,,,,,,,,
フタエノスキットまつげ/B,,100190,0,1cdbdb284fa045707d57de5c50955135,9bd071056820b5a3e9ea1e2c9a758a22,,,,,,,,,,,,,,,,,
フタエノフッサリまつげ,,100200,0,ecaffb30b537ebb5ca7ce8da906d5d57,8a2969cdb22e2729c69cec54db526c0a,,,,,,,,,,,,,,,,,
コーディアまつげ,,100210,0,3ea8af398d6b25f7970e1cf8956e3f52,8b50b41063420cfbc8187b3b72319124,,,,,,,,,,,,,,,,,
イラスティカまつげ,,100220,0,94da8ca20be3157f8b38c6a107f2e9f8,4ffb0bfefb0ceaf0373ab4370862d5f5,,,,,,,,,,,,,,,,,
フタエノスキットまつげ/C,,100230,0,0661ef86591a175c4c4169812356187b,fb91b38301ab8d01cb12d5539078fc38,,,,,,,,,,,,,,,,,
イラスティカまつげ/B,,100240,0,e02c7ae81f79003ec2085da06b6c38e9,b813e9aabcf5ba36c5113d8d6d1cc66b,,,,,,,,,,,,,,,,,
アイノサクネまつげ,,100270,0,bec902b96916c887057bb7cb033d2e20,4fb7393da3b53897abbfdc87061dbaf5,,,,,,,,,,,,,,,,,
￥[NPC]セントラルリーダーまつげ,,100290,0,,,,,,,,,,,,,,,,,,,
ハデナスキットまつげ,,100330,0,cee447452fa71525427b2babb1044f26,bb489636532d0eb6acffb76f6ce2009a,,,,,,,,,,,,,,,,,
クッキリスリムまつげ,,100340,0,afa8fa1a64f241f6c7c95437ce0406a7,e20019acd254084149ccf52499e5d293,,,,,,,,,,,,,,,,,
アデヤカまつげ,,100350,0,4f4c596c90c60ecb40058e0a32865a86,010ecdde9e42211dcdf521955d6cb839,,,,,,,,,,,,,,,,,
フタエノスラットまつげ,,100360,0,d4b82c46b87d005628922c9f93fd0155,42bf04dd1e0902c40fd5bca2355f91b0,,,,,,,,,,,,,,,,,
パキットまつげ,,100370,0,b2edbad602f467ac80d772010e4d2f14,8b1f391e01a32543f4a6796d86f1ff23,,,,,,,,,,,,,,,,,
フッサリまつげ,,100380,0,06397f93348839b685105c54e18cf087,ed9b54180c29c10e1e795c965aa8c83f,,,,,,,,,,,,,,,,,
ボリューミーまつげ,,100390,0,9b857425edc5b22acfebbce2b94b8afe,c8e6152d45756373ffa55cb9d1a02a7b,,,,,,,,,,,,,,,,,
スリムまつげ,,100400,0,bbe62d2eee152aa597968f7d1a72e703,8cc8178e4cd9de6fb1431ec23a461745,,,,,,,,,,,,,,,,,
キメテルまつげ,,100410,0,c8a5476c3421a7a602550a0accfc5d36,3e29abca0d8753b5f0e60b0d0ee26659,,,,,,,,,,,,,,,,,
ハッキリまつげ,,100420,0,fd4b1ce6e92e3531709b7deff720e808,89284ad449234b6b8c00bc446e249a6f,,,,,,,,,,,,,,,,,
ファミレアまつげ,,100470,0,1b1b2a731ef80666a64b746d6d358173,0f8235f1dc52131b5e4b6e13444f17ee,,,,,,,,,,,,,,,,,
プレザントまつげ,,100480,0,1d3ac897f0999cc17e310751d628b2db,c51ce30dd461981830abaf67d7f9bf7e,,,,,,,,,,,,,,,,,
フタエノゴーシャまつげ,,100490,0,9c0eed3576adfc05cab5db1930d2562d,6afa38ce829e974f63b42ed7d4a79a2b,,,,,,,,,,,,,,,,,
ヴィランまつげ,,100500,0,69371ba34d828add57f65c62bd99a8ed,322533e2eaa4e841520fd8fa92ef7e53,,,,,,,,,,,,,,,,,
ハートフルまつげ,,100510,0,6fd43fd8a8590e4668f4ae0e1d8202dd,fafdbbc3dd1611f61eb0ee5154148bcc,,,,,,,,,,,,,,,,,
バッチリまつげ,,100520,0,83fbfe9d1ce923f93cdd63a0c185f897,1ff50a14638601eebec2a0f5bafc77da,,,,,,,,,,,,,,,,,
レトロティカまつげ,,100530,0,f09b87fc28561eac0eb3a48b10408539,81ed7f0c4ea369942494de39c0ba98ea,,,,,,,,,,,,,,,,,
シンクローナまつげ,,100540,0,ef166c24d8e653ed63f2bd01a4decb68,4020e1fbb4808bc869a75f55cacdf799,,,,,,,,,,,,,,,,,
スリムラインまつげ,,100560,0,630991fe26a7492b225f485519a437d3,6b0229f6c067d0b0ec8d87238be91f16,,,,,,,,,,,,,,,,,
フタエノフワモコまつげ,,100570,0,16d59030e4957a800efb08d4cb6e39b5,ffdc6ea242f1cdfdfab975c935cac39b,,,,,,,,,,,,,,,,,
フタエノフワモコまつげ/B,,100580,0,13f51081ea037518a1387123cc2a0f5a,f5f75a28aaa64d456df620732ee99c74,,,,,,,,,,,,,,,,,
フサモリまつげ,,100590,0,1a4834ce2919f04d64a06e4b2014d18e,6f3d58daa7d35e7d763af65bc32d47d1,,,,,,,,,,,,,,,,,
ハッキリグラデまつげ,,100600,0,1285c4dd3148acbedafff531d94a1d17,20511d54429f99aabc4efcd2c034a084,,,,,,,,,,,,,,,,,
トライゴンまつげ,,100610,0,8c458cbbac0f0df68bcfc6e5cc952808,c8d2ec6535458ff0d4f1e25cf904fb48,,,,,,,,,,,,,,,,,
トゲノフッサリまつげ,,100620,0,2b0c7fecc92c4e95f9b71d9f171a6dbd,de9f17b8ced3031792bb0163724ffc65,,,,,,,,,,,,,,,,,
フタエノパッチリまつげ,,100630,0,fb3581a86d9d13eca2523b2f130ff6ad,2cd1bcdffa9a31d73db08b469a23ee42,,,,,,,,,,,,,,,,,
