Japanese Name,English Name,Id,Adjusted Id,Icon,Normal Quality,High Quality,Normal Quality RP,High Quality RP,Linked Inner,HQ Linked Inner,Linked Outer,HQ Linked Outer,Sounds,Cast Sounds,Material Anim,Material Anim Ex,Hand Textures,HQ Hand Textures,Hair Model,High Quality Hair Model,Face Model,High Quality Face Model
ベスティーバンドラス[Fu],,500030,500030,729e66a18e323d8f26d2db5814f58436,2f989be4c083530d968a4b541eaacf20,cabec0abecacc008796bebc062347e28,,,,,,,64b28414fa1a655b067d6fa5b05777f5,,,,,,,,,
ベスティーバンドラス/2[Fu],,500031,500030,e8ea68b49a2453e47a9f8632289dfe1a,2f989be4c083530d968a4b541eaacf20,cabec0abecacc008796bebc062347e28,,,,,,,,,,,,,,,,
ベスティーバンドラス/3[Fu],,500032,500030,0c506e74ceaae64ed3b443a578d95a1c,2f989be4c083530d968a4b541eaacf20,cabec0abecacc008796bebc062347e28,,,,,,,,,,,,,,,,
ベスティーバンドラス/4[Fu],,500033,500030,44fe987bcb835851ee3453ffc613815d,2f989be4c083530d968a4b541eaacf20,cabec0abecacc008796bebc062347e28,,,,,,,,,,,,,,,,
N-ラッピースーツ[Fu],,500040,500040,f688d5aa7a145abd2a392f041bb614aa,6eadd8a0799c8ce603d8179082ddc9c7,39c116247b3a9acad4e4fca129fc1cc3,,,,,,,58e6db88e5501de97b8a71273aed256d,,,,,,,,,
ゾンビラッピースーツ[Fu],,500050,500050,b7d92f82e5a9fbac4571737c3ca2676a,ec4edba65180eb95ed6c6fd5af383e4d,5ebc5f98a4cb2aad59dc6b48a706bdf6,,,,,,,58e6db88e5501de97b8a71273aed256d,,,,,,,,,
N-ラッピースーツ/B[Fu],,500060,500060,ca05a88559a80b26cefebd5796fb5417,2ba1a6147770576399c5a114b3b59e6b,9cf573bf1d783958fdb60c4cfb77ad5e,,,,,,,58e6db88e5501de97b8a71273aed256d,,,,,,,,,
ファイティングパンダー[Fu],,500070,500070,558ecffacfeac089a671d3e4d3abe919,104b63cf20b928dc4f32efc31a69dbe3,f121ff5476861b73059cdfb2642bc111,,,,,,,c1211982ac1b547053ed1012be982e84,,,,,,,,,
モフワタスーツ[Fu],,500080,500080,cf57c16288783ba6b0f38d6556b21fdf,465273985d5b452de4b60fafa1c45c50,71129307d56b3be3b7af1fbc344ac2b0,,,,,,,530a642c491c69d39957947d384dfd30,,79c3fe330d663110afd150f77c27aeaf,,,,,,,
モフワタスーツ/2[Fu],,500081,500080,f75dffe1cfcdc1ccae9b0620683656f2,465273985d5b452de4b60fafa1c45c50,71129307d56b3be3b7af1fbc344ac2b0,,,,,,,,,79c3fe330d663110afd150f77c27aeaf,,,,,,,
RA-PEXストロングワーカー[Fu],,500090,500090,3a8f8e9bcbe2f4842d74362619be1bc0,c056f4e5c3bc6f8fb53a76b2bc65b774,ed5a848037183b87365fb14661350068,,,,,,,fd354b61dbc6cbac5f46cb85d4806f4e,,,,,,,,,
RA-PEXストロングワーカー/2[Fu],,500091,500090,cabbb30f62e991b982dd6ac28da0dd96,c056f4e5c3bc6f8fb53a76b2bc65b774,ed5a848037183b87365fb14661350068,,,,,,,,,,,,,,,,
ファイティングパンダー/B[Fu],,500100,500100,753e7929316425f0fc38e5721521d7ab,b192f72c6cfad97610edbd977c41c1b7,b8f295d5f6ba3a6f7b27d1f149bd1f65,,,,,,,c1211982ac1b547053ed1012be982e84,,,,,,,,,
コンバットパンダー[Fu],,500110,500110,a1d3b3fe5f4c21042fd6c88da5f7ab58,dd5435cce114e5706a507cc1534cbe18,034384cb4c5fda6093a753f68976e1ba,,,,,,,c1211982ac1b547053ed1012be982e84,,,,,,,,,
コンバットパンダー/B[Fu],,500120,500120,16f288595444469af318fc6f296c2b23,d76110e358bfb3fa4d9f0d2a3d081de9,cb6e43b1d9c7fdcf03dad7985f20fade,,,,,,,c1211982ac1b547053ed1012be982e84,,,,,,,,,
N-ラッピースーツ・ミニ[Fu],,500130,500130,fca5c6330fd6985589c6ddf1e34da3a2,84e56a30b4e414ccb746558c0b6a87e9,272e3179ea48e335401b01a19b72a317,,,,,,,73d81693b9150e3b092c8466372c0ff2,,,,,,,,,
N-トナカイ着ぐるみ・ミニ[Fu],,500150,500150,2f9c26d6a005de8cc3e875f0260aaba0,99bf2e262aa06ae7e846e74d40c34a9c,e20db9735251d89dae4456cd3a2eb741,,,,,,,c1211982ac1b547053ed1012be982e84,,,,,,,,,
N-ラッピースーツ・ミニ/B[Fu],,500160,500160,2f3a05937684e832fa3d7c6fbe97050b,b6b8e4505ee17bad1d5e0d87665a2258,a0fbfe88750dfe2d62e0c74601bb2bcb,,,,,,,73d81693b9150e3b092c8466372c0ff2,,,,,,,,,
アインズ・レプカ[Fu],,500170,500170,6f0944c95f239afe9f4cd08f56539e37,e040e6c1d96529994ae8292419020070,f6ade661690d40a462124d8c65fa3a69,,,,,,,02702314f3a0ef0861eb6188cfe23e9e,,,,,,,,,
,,500190,500190,,,,,,,,,,c1211982ac1b547053ed1012be982e84,,,,,,,,,
カスタムアニマルスーツ・ミニ[Fu],,500210,500210,bd51513e10dd25a7c5460462dc0a9850,745e32b8d79d3909e6b20735d3cdc071,e4d7b6b9d57023f07909b973505fdbb1,,,,,,,8325e0caef2e88335284c16336007532,,,,,,,,,
モモン・レプカ[Fu],,500220,500220,b4fc4352ce4012cbf14952d1a237dac6,054da6ee00a87123a5bdb9b6704b2166,d241b9d840c23444b357155873894aba,,,,,99cbe92c741727eefa37cac5a021b4c9,95e0d17caf3d39fb342992ca5a3c5976,02702314f3a0ef0861eb6188cfe23e9e,,,,,,,,,
RA-PEXストロングワーカー/B[Fu],,500240,500240,0d08b526cc00fc797300548ca228a39e,33271a78b6f206ecdca26cbc1846ef6e,1dffedff9bdac4055992583a1ea319cc,,,,,,,fd354b61dbc6cbac5f46cb85d4806f4e,,,,,,,,,
カスタムアニマルスーツ・ミニ/B[Fu],,500250,500250,fdbebd3114d3072bc21b85c38991e07c,b483381f586a4db99d08d3aef1639061,f10ffc02e11bd71c1b8a4db2d3183529,,,,,,,8325e0caef2e88335284c16336007532,,,,,,,,,
N-トナカイ着ぐるみ・ミニV2[Fu],,500260,500260,54d21bcb91c69ae681d59b074790ae1b,a78ef884966cb9d01a4532e0beacbfce,491f369f9e46f0ccf0782d1787984661,,,,,,,c1211982ac1b547053ed1012be982e84,,,,,,,,,
,,500270,500270,,,,,,,,,,,,,,,,,,,
N-リリーパスーツ[Fu],,500280,500280,5197dc9767faf43a13e4ef1014f0c61c,f6e5b891bf56c7e690368ce289c60cf7,c95d2160abcbe45e1c4564911f777879,,,,,,,ed77bc1340dbac178e2fd149e1a6000e,,,,,,,,,
N-リリーパスーツ・ミニ[Fu],,500290,500290,1a9278ad94550b4314002668eeb44ba1,572d1fb8aebd2f7fcadf443d16888172,1183540eb7ea53c676683b19b29adf27,,,,,,,ed77bc1340dbac178e2fd149e1a6000e,,,,,,,,,
N-リリーパスーツ/B[Fu],,500300,500300,a8d3af00b0388d015c075a94175b4c9a,c74c157ec4c4e0440f448d0f8b52dcc8,2554d942a1e62b9fb53a2508d301b6fe,,,,,,,ed77bc1340dbac178e2fd149e1a6000e,,,,,,,,,
N-リリーパスーツ・ミニ/B[Fu],,500310,500310,97a44dcf2840bdb14b882afd4170dda7,7798fb0f73159437de2bf87b48fca7ef,0d34375eb47dc9bff6bfc6741ddf5e8d,,,,,,,ed77bc1340dbac178e2fd149e1a6000e,,,,,,,,,
ベスティーバンドラス/B[Fu],,500330,500330,6a69c8a295e890953d7f4fda127be2a0,18f664854febfa65f426e3f4cb5b63ca,4963b493cf5d5c2c0279ea093e099812,,,,,,,64b28414fa1a655b067d6fa5b05777f5,,,,,,,,,
ベスティーバンドラス/C[Fu],,500340,500340,46e22f7133a55a81e74a6b65bdb19dfa,eaeadddad0497c3f1af10d8f41cafd8a,2ac51f8f266bbab7c5c610a709e73a2b,,,,,,,64b28414fa1a655b067d6fa5b05777f5,,,,,,,,,
怪獣８号・レプカ[Fu],,500350,500350,7d44705c13845bfc295534573199fda2,87396b8907286b530fc000b9fdd1ddab,5b115dcde0e80f189963977833d7125e,,,,,,,c1211982ac1b547053ed1012be982e84,,,,,,,,,
ファイティングパンダー/C[Fu],,500360,500360,110523b0de745379bf0dbababbcbed63,4af7d65e0199241fab857fab7f30f9e3,0365a4f0703c01631ad354bf9e308896,,,,,,,c1211982ac1b547053ed1012be982e84,,,,,,,,,
コンバットパンダー/C[Fu],,500370,500370,a8c1405653401a62bd5927946261f4d5,c92e490a940bad632845aaa2275528c8,439284ec404cb9b1d1e317ad245de9bb,,,,,,,c1211982ac1b547053ed1012be982e84,,,,,,,,,
サイガ-0・レプカ[Fu],,500380,500380,d63df51ecda7e731dcdb48839518721e,b99faff6441fb07433fcc67b9010d21e,3fccf69bee43fd76df765fe0525d99f7,,,,,,,02702314f3a0ef0861eb6188cfe23e9e,,,,,,7eda1712e7dc6eb2d84fce5efc459101,7eda1712e7dc6eb2d84fce5efc459101,,
サイガ-0・レプカ/2[Fu],,500381,500380,62ee95073f9e31c4bc754c8c49d60f87,b99faff6441fb07433fcc67b9010d21e,3fccf69bee43fd76df765fe0525d99f7,,,,,,,,,,,,,,,,
サイガ-0・レプカ/B[Fu],,500390,500390,fc37eef3abab465a86b22fc55fe421b6,1c658a6de72112eb42ff560d760c8108,6eade2e01979f08689b4725e442c3733,,,,,,,02702314f3a0ef0861eb6188cfe23e9e,,,,,,b8b7a665fa7380d453cbf9377b67e1cd,b8b7a665fa7380d453cbf9377b67e1cd,,
サイガ-0・レプカ/B2[Fu],,500391,500390,4b3d5e922d78bf120b5fffcfdc451dc3,1c658a6de72112eb42ff560d760c8108,6eade2e01979f08689b4725e442c3733,,,,,,,,,,,,,,,,
ゾンビラッピースーツ/B[Fu],,500410,500410,9f988c3ff276dc2c952a2b34c903bb23,57eec611076e0f88464538723df69535,1611c10e0f1869a87134f8b56373289b,,,,,,,58e6db88e5501de97b8a71273aed256d,,,,,,,,,
カスタムアニマルスーツ・ミニ/C[Fu],,500420,500420,289fc934dfcb1adb345f1e8f19ee3ef1,25291b654ad8d7612c04d154a702ddf0,6dfacb834c4c91cd6bbf9a9f1e08a94d,,,,,,,8325e0caef2e88335284c16336007532,,,,,,,,,
リムル・レプカ[Fu],,500430,500430,afce2161e6d3e6d599bbc980e4c186e6,d1e2e4dd158976ab8b11bf46ab3209d0,cf050ad9ddfcc16b6f60e4617207db3f,,,,,,,530a642c491c69d39957947d384dfd30,,,,,,,,,
リムル・レプカ/2[Fu],,500431,500430,cbbb8f449c5d06c795dde28747f1d273,d1e2e4dd158976ab8b11bf46ab3209d0,cf050ad9ddfcc16b6f60e4617207db3f,,,,,,,,,,,,,,,,
でびでび・でびる・レプカ[Fu],,500440,500440,c47bda19ee4252c36c2af23dfe098bca,ff58898574955f570a12d34446aac162,4ac4b7222732085b9cc05063d660c12b,,,,,,,8325e0caef2e88335284c16336007532,,,,,,,,,
でびでび・でびる・レプカ/2[Fu],,500441,500440,c56d76884371ceb830c81e1fa65592de,ff58898574955f570a12d34446aac162,4ac4b7222732085b9cc05063d660c12b,,,,,,,,,,,,,,,,
リムル・レプカ・ミニ[Fu],,500450,500450,4bda5836b9a6b8b89f79455c7771e98f,f86e33c16df37d702425b992dadcb3a1,ad4a41199a986f01ef1b0e23b81037cb,,,,,,,530a642c491c69d39957947d384dfd30,,,,,,,,,
