Data is laid out as follows:
Unit name (if known), 1st model attach bone, 2nd model attach bone, Extra model attach bone, object unhashed name, object hashed name


リア／カルバリアウィング,Back / Calvaria Wings,c_backadd,,,item/addon/it_ad_00001.ice,6c86c87d31fc0a4ff729dcb121bb913a
アーム／カルバリアトール,Arms / Calvaria Tor,l_armadd,r_armadd,,item/addon/it_ad_00002.ice,1199afc3db5ad72b9e0a9acb425be738
レッグ／カルバリアフィン,Legs / Calvaria Fin,l_legadd,r_legadd,,item/addon/it_ad_00003.ice,b1df92f3645dd15ede1e0ccac0262cc4
リア／ヘラストゥラ,Back / Hera Stura,c_backadd,,,item/addon/it_ad_00004.ice,6e9a0094f041cf1d0e52ba62077df021
アーム／ヘラスラスト,Arms / Hera Thrust,l_armadd,r_armadd,,item/addon/it_ad_00005.ice,173a2df5b780c29b660066ee30c1e95f
レッグ／ヘラグラインド,Legs / Hera Grind,l_legadd,r_legadd,,item/addon/it_ad_00006.ice,20cfb97bea7c6c9352234129a10c44c2
リア／ブルームフェザー,Back / Bloom Feather,c_backadd,,,item/addon/it_ad_00007.ice,9cb7af8ece72dc0162e60bf404561c29
,l_armadd,r_armadd,,item/addon/it_ad_00008.ice,132d6c2c811a62f8b07d573ad8c38a0b
,l_legadd,r_legadd,,item/addon/it_ad_00009.ice,9f238bc1b2957d411295d4fbac31b654
,l_armadd,r_armadd,,item/addon/it_ad_00010.ice,f0063be517a9e76be7becee97243706d
,l_legadd,r_legadd,,item/addon/it_ad_00011.ice,5e2ed42bd9cdf38e078ca9ed7f136b62
,c_backadd,,,item/addon/it_ad_00012.ice,add5eb22a2114abb810b1a45b5d41843
,l_legadd,r_legadd,,item/addon/it_ad_00013.ice,e22fa5fbbb528bae0566992f9ec8fac5
,c_backadd,,,item/addon/it_ad_00014.ice,47f0ebe1b038d96d57d6975dece58d3a
,l_armadd,r_armadd,,item/addon/it_ad_00015.ice,fb740cafa1c48454c549cfa02600a720
,l_legadd,r_legadd,,item/addon/it_ad_00016.ice,300b38deae77a91c0bc003ed30828128
,c_backadd,,,item/addon/it_ad_00017.ice,eba547cc52f7535111a7de4bc08e3901
,c_backadd,,,item/addon/it_ad_00018.ice,475339047ca341ae3ad88fdd460c2580
,c_backadd,,,item/addon/it_ad_00019.ice,3b595c204ccd595c6f039eeda263d4fe
,l_armadd,r_armadd,,item/addon/it_ad_00020.ice,19ed0999e434b28d683f7a51924e1ffe
,l_armadd,r_armadd,,item/addon/it_ad_00021.ice,6cf6939df0955a362c37e50c812089f5
,l_armadd,r_armadd,,item/addon/it_ad_00022.ice,41439415c6bd4b74f8816d79564476a5
,l_legadd,r_legadd,,item/addon/it_ad_00023.ice,0a579daf907056ddab140cb626699122
,l_legadd,r_legadd,,item/addon/it_ad_00024.ice,c5ebe94818745b30d2dcc8fa4ea42ec2
,l_legadd,r_legadd,,item/addon/it_ad_00025.ice,fe249c0fd33711462190272d2a4ffd86
,c_backadd,,,item/addon/it_ad_00026.ice,71e1030772646441b954d5253784f397
,c_backadd,,,item/addon/it_ad_00027.ice,a0d055dfd829d948085c847a22676a0a
